symbol,R_12,R_6,Z_12,Z_6,score,rebal_date,weight
LUV,0.8167177,0.4756484,3.4985995,2.2774084,2.8880038,2015-01-30,0.05
EW,0.661163,0.45025957,2.7210295,2.136125,2.4285774,2015-01-30,0.05
EA,0.7175845,0.29141116,3.0030634,1.2521684,2.127616,2015-01-30,0.05
VRTX,0.4693305,0.49717063,1.7621185,2.3971748,2.0796466,2015-01-30,0.05
MNST,0.46924713,0.4457681,1.7617018,2.111131,1.9364164,2015-01-30,0.05
AGN-201503,0.6503875,0.2391865,2.6671665,0.96154964,1.814358,2015-01-30,0.05
BBWI,0.3761782,0.42653072,1.2964791,2.0040793,1.6502793,2015-01-30,0.05
KR,0.49957526,0.30286682,1.9133028,1.3159167,1.6146097,2015-01-30,0.05
DAL,0.5907477,0.21367961,2.3690455,0.8196094,1.5943274,2015-01-30,0.05
COV-201501,0.42704037,0.34687436,1.5507233,1.560809,1.5557661,2015-01-30,0.05
KMX,0.34783107,0.4071936,1.1547806,1.8964725,1.5256265,2015-01-30,0.05
LOW,0.3450303,0.3885676,1.1407804,1.7928228,1.4668016,2015-01-30,0.05
SIAL-201511,0.38725218,0.3354912,1.3518345,1.4974643,1.4246495,2015-01-30,0.05
CFN-201503,0.3989142,0.32371262,1.4101292,1.431919,1.4210241,2015-01-30,0.05
TEG-201506,0.40167093,0.314105,1.4239093,1.3784547,1.4011819,2015-01-30,0.05
BRCM-201601,0.3932734,0.31311214,1.3819327,1.3729297,1.3774312,2015-01-30,0.05
MAR,0.47025362,0.24166197,1.7667329,0.97532505,1.371029,2015-01-30,0.05
SPLS-201709,0.16889888,0.50384,0.26035395,2.4342887,1.3473214,2015-01-30,0.05
REGN,0.39912337,0.29004928,1.4111749,1.2445899,1.3278824,2015-01-30,0.05
ISRG,0.3200242,0.35807493,1.0157826,1.6231378,1.3194602,2015-01-30,0.05
LUV,0.88211244,0.5233901,3.3934586,2.3995175,2.8964882,2015-02-27,0.05
EA,0.8719023,0.4248832,3.3499663,1.9392633,2.6446147,2015-02-27,0.05
MNST,0.5456269,0.49864423,1.960131,2.2838972,2.122014,2015-02-27,0.05
EW,0.64509815,0.3786249,2.383849,1.7231307,2.0534897,2015-02-27,0.05
AGN-201503,0.6812803,0.25962415,2.5379739,1.1671234,1.8525486,2015-02-27,0.05
KR,0.5722473,0.3407509,2.0735261,1.546172,1.809849,2015-02-27,0.05
REGN,0.4146272,0.38869822,1.4021118,1.7701963,1.586154,2015-02-27,0.05
KDP,0.48838207,0.28924376,1.7162853,1.305515,1.5109003,2015-02-27,0.05
WELL,0.47541112,0.29187673,1.661033,1.3178171,1.4894251,2015-02-27,0.05
DAL,0.5517791,0.20498163,1.9863377,0.9118171,1.4490774,2015-02-27,0.05
BBWI,0.35374463,0.37632993,1.1427703,1.712408,1.4275892,2015-02-27,0.05
SIAL-201511,0.3890718,0.30781016,1.2932534,1.3922629,1.3427582,2015-02-27,0.05
GGP-201808,0.43395144,0.26686278,1.4844272,1.2009444,1.3426858,2015-02-27,0.05
LOW,0.33327106,0.35766396,1.055559,1.6251949,1.340377,2015-02-27,0.05
ANDV-201809,0.35233498,0.33999738,1.1367656,1.5426513,1.3397084,2015-02-27,0.05
CFN-201503,0.39823988,0.2904966,1.3323067,1.3113687,1.3218377,2015-02-27,0.05
MAC,0.4174705,0.2724265,1.4142234,1.2269397,1.3205816,2015-02-27,0.05
AIV,0.46274942,0.22623044,1.607098,1.0110979,1.309098,2015-02-27,0.05
SHW,0.4013558,0.2757626,1.3455796,1.242527,1.2940533,2015-02-27,0.05
CELG-201911,0.34389338,0.3275163,1.100807,1.4843359,1.2925714,2015-02-27,0.05
MNST,0.7315744,0.7913527,2.6756387,3.6359737,3.155806,2015-03-31,0.05
EA,0.77284014,0.5316782,2.8722768,2.2942514,2.583264,2015-03-31,0.05
LUV,0.73206747,0.42798495,2.6779883,1.7584748,2.2182317,2015-03-31,0.05
HSP-201509,0.6876788,0.45625347,2.466469,1.9045365,2.1855028,2015-03-31,0.05
BBWI,0.62954915,0.49739766,2.1894717,2.117126,2.1532989,2015-03-31,0.05
EW,0.71426785,0.38791603,2.5931702,1.5514412,2.0723057,2015-03-31,0.05
KR,0.6955577,0.38243976,2.5040133,1.5231457,2.0135794,2015-03-31,0.05
AGN-201503,0.7099627,0.3395592,2.5726554,1.3015844,1.93712,2015-03-31,0.05
